Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Settings Name,Settings Val
,,488.6833331696,159.9148245667,7.1,-43.5862422507884,0.0,,
,,488.6833331696,169.9148245667,7.2,-44.202926282791,0.0,,
,,488.6833331696,179.9148245667,7.3,-44.6451615591515,0.0,,
,,488.6833331696,189.9293994081,7.4,-44.9112027792722,0.0,,
,,488.6833331696,200.5562912657,7.5,-45.0,0.0,,
,,488.6833331701,216.2066857852,7.6,-44.9112027792722,0.0,,
,,488.7551805568,233.0127203473,7.7,-44.6451615591515,0.0,,
,,492.5872718676,250.0137951586,7.8,-44.202926282791,0.0,,
,,496.8691030645,261.2549746439,7.9,-43.5862422507884,0.0,,
,,504.6163146444,276.8988591273,8.0,-42.7975432332819,0.0,,
,,509.4122937058,276.8988591307,8.1,-41.8399418649713,0.0,,
,,520.187252891,276.8988591307,8.2,-40.7172173609709,0.0,,
,,530.187252891,276.8988591307,8.3,-39.4338006019738,0.0,,
,,540.187252891,276.8988591307,8.4,-37.99475664759071,0.0,,
,,550.187252891,276.8988591307,8.5,-36.4057647468726,0.0,,
,,560.187252891,276.8988591307,8.6,-34.6730959249105,0.0,,
,,570.187252891,276.8988591307,8.7,-32.8035882339635,0.0,,
,,580.187252891,276.8988591307,8.8,-30.804619766790996,0.0,,
,,590.187252891,276.8988591307,8.9,-28.684079538691005,0.0,,
,,600.187252891,276.8988591307,9.0,-26.450336353161305,0.0,,
,,610.187252891,276.8988591307,9.1,-24.1122057740549,0.0,,
,,620.187252891,276.8988591307,9.2,-21.6789153345771,0.0,,
,,630.187252891,276.8988591307,9.3,-19.1600681204282,0.0,,
,,640.187252891,276.8988591307,9.4,-16.5656048708105,0.0,,
,,650.187252891,276.8988591307,9.5,-13.9057647468726,0.0,,
,,660.187252891,276.8988591307,9.6,-11.1910449224184,0.0,,
,,670.187252891,276.8988591307,9.7,-8.43215915635755,0.0,,
,,680.187252891,276.8988591307,9.8,-5.63999551039367,0.0,,
,,690.187252891,276.8988591307,9.9,-2.82557337881907,0.0,,
,,700.187252891,276.8988591307,10.0,0.0,0.0,,
,,710.187252891,276.8988591307,,,,,
,,720.187252891,276.8988591307,,,,,
,,730.187252891,276.8988591307,,,,,
,,740.187252891,276.8988591307,,,,,
,,750.187252891,276.8988591307,,,,,
,,760.187252891,276.8988591307,,,,,
,,770.187252891,276.8988591307,,,,,
,,780.187252891,276.8988591307,,,,,
,,790.187252891,276.8988591307,,,,,
,,800.187252891,276.8988591307,,,,,
,,810.187252891,276.8988591307,,,,,
,,820.187252891,276.8988591307,,,,,
,,830.187252891,276.8988591307,,,,,
,,840.187252891,276.8988591307,,,,,
,,850.187252891,276.8988591307,,,,,
,,860.187252891,276.8988591307,,,,,
,,870.187252891,276.8988591307,,,,,
,,880.187252891,276.8988591307,,,,,
,,890.187252891,276.8988591307,,,,,
,,900.187252891,276.8988591307,,,,,
,,910.187252891,276.8988591307,,,,,
,,920.187252891,276.8988591307,,,,,
,,930.187252891,276.8988591307,,,,,
,,940.187252891,276.8988591307,,,,,
,,950.187252891,276.8988591307,,,,,
,,960.187252891,276.8988591307,,,,,
,,970.187252891,276.8988591307,,,,,
,,980.187252891,276.8988591307,,,,,
,,989.3669892146,276.8988591307,,,,,
,,995.2844481349,276.8988591306,,,,,
,,1003.4944745746,260.2765483274,,,,,
,,1007.7778675616,249.017773265,,,,,
,,1011.3171278091,232.5530344547,,,,,
,,1011.3738789714,214.9332990511,,,,,
,,1011.3738789707,199.7020146847,,,,,
,,1011.3738789707,180.118081145,,,,,
,,1011.3738789707,170.118081145,,,,,
,,1011.3738789707,160.118081145,,,,,
,,1011.3738789707,150.118081145,,,,,
,,1011.3738789707,140.118081145,,,,,
,,1011.3738789707,130.118081145,,,,,
,,1011.3738789707,120.118081145,,,,,
,,1011.3738789707,110.118081145,,,,,
,,1011.3738789707,100.118081145,,,,,
,,1011.3738789707,90.118081145,,,,,
,,1011.3738789707,80.118081145,,,,,
,,1011.3738789707,70.118081145,,,,,
,,1011.3738789707,60.118081145,,,,,
,,1011.3738789707,55.1789916821,,,,,
,,1011.3589054212,45.1903523901,,,,,
,,1011.3545754757,40.821159973,,,,,
,,1011.3998687489,36.6765186896,,,,,
,,1027.4841258059,39.7796275139,,,,,
,,1037.4379595806,41.8090722293,,,,,
,,1047.3679065551,44.2611446961,,,,,
,,1055.0766153749,45.9418017754,,,,,
,,1064.5851373963,47.7874084018,,,,,
,,1073.9851697504,49.6017393043,,,,,
,,1083.2262023548,51.3741308067,,,,,
,,1092.272395844,53.091840187,,,,,
,,1101.1683383653,54.6647158985,,,,,
,,1110.1370278431,56.1284015803,,,,,
,,1118.9714669877,57.8112803432,,,,,
,,1127.5017686598,59.4102224183,,,,,
,,1135.9300672067,60.7806344775,,,,,
,,1144.4709895925,62.1440698288,,,,,
,,1153.074803903,63.6338117557,,,,,
,,1161.2428689556,65.1719739548,,,,,
,,1169.3739551793,66.5305734917,,,,,
,,1177.6066134695,68.1594519621,,,,,
,,1185.7282906026,69.8961686039,,,,,
,,1193.710612669,72.2374923961,,,,,
,,1200.5738928317,75.6479850927,,,,,
,,1204.4886113856,76.898859131,,,,,
,,1208.4038873669,76.8988591307,,,,,
,,1220.187252891,76.8988591307,,,,,
,,1230.187252891,76.8988591307,,,,,
,,1240.187252891,76.8988591307,,,,,
,,1250.187252891,76.8988591307,,,,,
,,1260.187252891,76.8988591307,,,,,
,,1270.187252891,76.8988591307,,,,,
,,1280.187252891,76.8988591307,,,,,
,,1290.187252891,76.8988591307,,,,,
,,1300.187252891,76.8988591307,,,,,
,,1310.187252891,76.8988591307,,,,,
,,1320.187252891,76.8988591307,,,,,
,,1330.187252891,76.8988591307,,,,,
,,1340.187252891,76.8988591307,,,,,
,,1350.187252891,76.8988591307,,,,,
,,1360.187252891,76.8988591307,,,,,
,,1370.187252891,76.8988591307,,,,,
,,1380.187252891,76.8988591307,,,,,
,,1390.187252891,76.8988591307,,,,,
,,1400.187252891,76.8988591307,,,,,
,,1410.187252891,76.8988591307,,,,,
,,1420.187252891,76.8988591307,,,,,
,,1430.187252891,76.8988591307,,,,,
,,1440.187252891,76.8988591307,,,,,
,,1450.187252891,76.8988591307,,,,,
,,1460.187252891,76.8988591307,,,,,
,,1470.187252891,76.8988591307,,,,,
,,1479.7035557952,76.8988591307,,,,,
,,1486.7887187415,76.8988591334,,,,,
,,1495.1965000811,62.8187719324,,,,,
,,1501.5611346345,51.2886580289,,,,,
,,1504.7358439983,32.9568550305,,,,,
,,1504.0086439101,19.4369059686,,,,,
,,1500.0,0.0,,,,,
